model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
1,2016,17996,14514.0,30,60.1,1,0,1,0,0,0,1,0,1
2,2016,12000,83984.0,20,70.6,5,0,0,1,1,0,0,0,1
2,2014,10995,48500.0,125,58.9,5,0,0,1,1,0,0,0,1
6,2018,21490,6359.0,145,51.4,1,0,1,0,0,0,1,0,1
2,2017,18900,20291.0,30,62.8,5,1,0,0,1,0,0,0,1
6,2019,26750,2200.0,145,39.8,2,0,1,0,0,0,1,0,1
2,2017,15995,18633.0,145,52.3,1,0,1,0,0,0,1,0,1
6,2016,16390,52442.0,165,50.4,5,0,0,1,1,0,0,0,1
2,2019,25000,5000.0,145,38.7,5,0,1,0,0,0,1,0,1
3,2017,29000,37265.0,150,36.2,6,1,0,0,0,0,1,0,1
2,2019,24495,5000.0,145,39.2,5,0,1,0,0,0,1,0,1
6,2017,20998,9997.0,145,47.9,1,0,0,1,0,0,1,0,1
3,2019,29000,6452.0,145,40.4,5,0,0,1,0,0,1,0,1
6,2019,28770,6389.0,145,42.8,5,0,1,0,1,0,0,0,1
7,2015,19200,21565.0,200,47.9,5,0,1,0,1,0,0,0,1
3,2017,18350,24817.0,125,50.4,5,0,1,0,0,0,1,0,1
6,2016,15900,32011.0,145,49.6,1,0,1,0,0,0,1,0,1
4,2017,19995,52822.0,145,64.2,5,0,0,1,1,0,0,0,1
7,2020,36890,3895.0,145,38.2,5,0,0,1,1,0,0,0,1
7,2016,20000,40905.0,205,47.1,5,0,0,1,1,0,0,0,1
1,2019,19750,4270.0,145,47.1,0,0,1,0,0,0,1,0,1
6,2016,16995,34396.0,145,52.3,5,0,1,0,1,0,0,0,1
1,2018,20000,11924.0,150,42.2,2,0,0,1,0,0,1,0,1
7,2019,31998,0.0,145,33.2,5,0,0,1,0,0,1,1,0
1,2016,16995,16555.0,20,60.1,1,0,1,0,0,0,1,0,1
3,2019,32950,5630.0,145,50.4,5,1,0,0,1,0,0,0,1
1,2017,16100,28955.0,145,58.9,1,0,1,0,0,0,1,0,1
6,2016,16200,16813.0,145,47.9,1,0,0,1,0,0,1,0,1
5,2019,25499,7897.0,145,47.9,5,0,0,1,1,0,0,0,1
0,2019,23946,0.0,145,44.1,0,1,0,0,0,0,1,1,0
5,2017,18495,24755.0,145,52.3,1,0,1,0,0,0,1,0,1
7,2020,36930,5412.0,145,38.2,5,1,0,0,1,0,0,0,1
3,2011,9940,35000.0,150,51.4,5,0,1,0,1,0,0,0,1
4,2014,14998,60484.0,30,64.2,5,0,0,1,1,0,0,0,1
7,2016,21571,44929.0,200,47.1,5,0,0,1,1,0,0,0,1
4,2018,23500,12000.0,150,47.9,4,0,0,1,0,0,1,0,1
4,2019,30495,6500.0,145,47.9,5,1,0,0,1,0,0,0,1
